tahun,latitude,longitude,nama_provinsi,nama_kabupaten_kota,nama_kelurahan,nama_kecamatan,jumlaluas_wilayah,jumlah_kepadatanjiwakm2
2017,-6.245426,106.762181,PROVINSI DKI JAKARTA,JAKARTA SELATAN,ulujami,PESANGGRAHAN,1.71,27366.57
2017,-6.227044,106.753007,PROVINSI DKI JAKARTA,JAKARTA SELATAN,petukangan utara,PESANGGRAHAN,2.99,20305.44
2017,-6.249476,106.752904,PROVINSI DKI JAKARTA,JAKARTA SELATAN,petukangan selatan,PESANGGRAHAN,2.1,19786.76
2017,-6.291425,106.791,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cilandak barat,CILANDAK,6.05,9754.71
2017,-6.282246,106.791863,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cilandak barat,CILANDAK,6.05,9754.71
2017,-6.306322,106.798473,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pondok labu,CILANDAK,3.91,13166.2
2017,-6.304672,106.784393,PROVINSI DKI JAKARTA,JAKARTA SELATAN,lebak bulus,CILANDAK,4.11,10111.8
2017,-6.270589,106.793997,PROVINSI DKI JAKARTA,JAKARTA SELATAN,gandaria selatan,CILANDAK,1.77,14276.27
2017,-6.274084,106.798793,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cipete selatan,CILANDAK,2.32,13419.89
NA,-6.28476,106.835412,NA,NA,jatipadang,NA,NA,NA
2017,-6.294484,106.845311,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pejaten timur,PASAR MINGGU,2.68,25047.23
2017,-6.285706,106.840462,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pasar minggu,PASAR MINGGU,2.79,10221.46
NA,-6.286011,106.831808,NA,NA,jatipadang,NA,NA,NA
2017,-6.305311,106.819474,PROVINSI DKI JAKARTA,JAKARTA SELATAN,ragunan,PASAR MINGGU,5.05,8986.61
2017,-6.307066,106.810591,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cilandak timur,PASAR MINGGU,3.53,8181.53
2017,-6.305348,106.819536,PROVINSI DKI JAKARTA,JAKARTA SELATAN,kebagusan,PASAR MINGGU,2.26,22191.59
2017,-6.269907,106.837677,PROVINSI DKI JAKARTA,JAKARTA SELATAN,pejaten barat,PASAR MINGGU,2.9,14758.96
2017,-6.334399,106.821343,PROVINSI DKI JAKARTA,JAKARTA SELATAN,jagakarsa,JAGAKARSA,4.85,14118.14
2017,-6.344783,106.802565,PROVINSI DKI JAKARTA,JAKARTA SELATAN,cipedak,JAGAKARSA,3.97,10296.69
2017,-6.323819,106.837398,PROVINSI DKI JAKARTA,JAKARTA SELATAN,lenteng agung,JAGAKARSA,2.28,26556.16
2017,-6.309626,106.850572,PROVINSI DKI JAKARTA,JAKARTA SELATAN,tanjung barat,JAGAKARSA,3.65,12294.59
2017,-6.345608,106.830956,PROVINSI DKI JAKARTA,JAKARTA SELATAN,srengseng sawah,JAGAKARSA,6.75,9534.31
2017,-6.328401,106.822541,PROVINSI DKI JAKARTA,JAKARTA SELATAN,jagakarsa,JAGAKARSA,4.85,14118.14
2017,-6.338143,106.810537,PROVINSI DKI JAKARTA,JAKARTA SELATAN,ciganjur,JAGAKARSA,3.38,12245.56
2017,-6.214097,106.944111,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pulo gebang,CAKUNG,6.92,15267.2
2017,-6.197469,106.869184,PROVINSI DKI JAKARTA,JAKARTA TIMUR,utan kayu utara,MATRAMAN,1.07,30935.75
NA,-6.206925,106.861568,NA,NA,palmeriam,NA,NA,NA
2017,-6.206877,106.863378,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kayu manis,MATRAMAN,0.58,51902.78
2017,-6.209251,106.871104,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pisangan baru,MATRAMAN,0.68,5501.36
2017,-6.198169,106.865123,PROVINSI DKI JAKARTA,JAKARTA TIMUR,utan kayu utara,MATRAMAN,1.07,30935.75
2017,-6.205613,106.855637,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kebon manggis,MATRAMAN,0.78,24945.66
2017,-6.200648,106.868821,PROVINSI DKI JAKARTA,JAKARTA TIMUR,utan kayu selatan,MATRAMAN,1.12,34699.7
2017,-6.228328,106.874508,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cipinang cempedak,JATINEGARA,1.29,29496.9
NA,-6.221778,106.869846,NA,NA,rawabunga,NA,NA,NA
NA,-6.228245,106.874097,NA,NA,cip. cempedak,NA,NA,NA
NA,-6.217546,106.882302,NA,NA,cip. besar utara,NA,NA,NA
NA,-6.239849,106.867441,NA,NA,bidaracina,NA,NA,NA
NA,-6.214419,106.859681,NA,NA,kamp. melayu,NA,NA,NA
2017,6.2176,106.886142,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cipinang muara,JATINEGARA,2.9,22161.31
NA,-6.220185,106.866838,NA,NA,balimester,NA,NA,NA
NA,-6.224268,106.883145,NA,NA,cip. besar selatan,NA,NA,NA
NA,-6.284982,106.871612,NA,NA,kramatjati,NA,NA,NA
2017,-6.250222,106.868379,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cawang,KRAMAT JATI,1.79,21712.47
2017,-6.260432,106.870062,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cililitan,KRAMAT JATI,1.76,26548.46
NA,-6.277326,106.871881,NA,NA,kramatjati,NA,NA,NA
2017,-6.282928,106.85893,PROVINSI DKI JAKARTA,JAKARTA TIMUR,batu ampar,KRAMAT JATI,2.55,21094.79
NA,-6.281622,106.850218,NA,NA,balekambang,NA,NA,NA
NA,-6.290255,106.864792,NA,NA,tengah,NA,NA,NA
2017,6.296,106.877223,PROVINSI DKI JAKARTA,JAKARTA TIMUR,dukuh,KRAMAT JATI,1.98,14195.57
2017,-6.182997,106.939931,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cakung barat,CAKUNG,6.12,10944.27
2017,-6.197531,106.905384,PROVINSI DKI JAKARTA,JAKARTA TIMUR,jatinegara,CAKUNG,6.6,14699.5
NA,-6.185854,106.922913,NA,NA,rawaterate,NA,NA,NA
2017,-6.202838,106.931094,PROVINSI DKI JAKARTA,JAKARTA TIMUR,penggilingan,CAKUNG,4.48,2446.3
2017,-6.173563,106.93351,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cakung barat,CAKUNG,6.12,10944.27
2017,-6.183502,106.957708,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cakung timur,CAKUNG,9.81,6772.83
2017,-6.187648,106.962236,PROVINSI DKI JAKARTA,JAKARTA TIMUR,ujung menteng,CAKUNG,5.04,6637.79
NA,-6.216119,106.954549,NA,NA,pulogebang,NA,NA,NA
NA,-6.198503,106.904538,NA,NA,pulogadung,NA,NA,NA
NA,-6.185902,106.893786,NA,NA,pulogadung,NA,NA,NA
2017,-6.208508,106.877128,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pisangan timur,PULO GADUNG,1.79,26923.72
NA,-6.208867,106.895363,NA,NA,cipinang   ,NA,NA,NA
2017,6.1796,106.887453,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kayu putih,PULO GADUNG,4.37,10734.99
2017,-6.209146,106.897742,PROVINSI DKI JAKARTA,JAKARTA TIMUR,jatinegara kaum,PULO GADUNG,1.23,22801.13
2017,-6.199423,106.900225,PROVINSI DKI JAKARTA,JAKARTA TIMUR,jati,PULO GADUNG,2.16,17694.66
2017,-6.198972,106.880676,PROVINSI DKI JAKARTA,JAKARTA TIMUR,rawamangun,PULO GADUNG,2.6,16908.11
2017,-6.339764,106.869918,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pekayon,PASAR REBO,3.18,15383.19
2017,-6.301494,106.865852,PROVINSI DKI JAKARTA,JAKARTA TIMUR,gedong,PASAR REBO,2.63,1551.25
2017,-6.324733,106.861983,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cijantung,PASAR REBO,2.38,19517.56
2017,-6.323461,106.851069,PROVINSI DKI JAKARTA,JAKARTA TIMUR,baru,PASAR REBO,1.89,14377.2
2017,-6.337281,106.855849,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kalisari,PASAR REBO,2.89,16579.37
2017,-6.343079,106.861852,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pekayon,PASAR REBO,3.18,15383.19
2017,-6.233089,106.918125,PROVINSI DKI JAKARTA,JAKARTA TIMUR,duren sawit,DUREN SAWIT,4.56,15075.62
2017,6.216812,106.908209,PROVINSI DKI JAKARTA,JAKARTA TIMUR,klender,DUREN SAWIT,3.05,26605.44
2017,-6.235402,106.895585,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pondok bambu,DUREN SAWIT,4.9,14155.81
2017,-6.23069,106.914643,PROVINSI DKI JAKARTA,JAKARTA TIMUR,duren sawit,DUREN SAWIT,4.56,15075.62
2017,-6.227572,106.927933,PROVINSI DKI JAKARTA,JAKARTA TIMUR,malaka sari,DUREN SAWIT,1.38,23549.88
2017,-6.222106,106.932476,PROVINSI DKI JAKARTA,JAKARTA TIMUR,malaka jaya,DUREN SAWIT,0.99,36662.62
2017,-6.229299,106.944619,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pondok kopi,DUREN SAWIT,2.06,19442.23
2017,-6.240095,106.934856,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pondok kelapa,DUREN SAWIT,5.72,13815.61
2017,-6.279282,106.878423,PROVINSI DKI JAKARTA,JAKARTA TIMUR,makasar,MAKASAR,1.61,24604.4
2017,-6.244576,106.898399,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cipinang melayu,MAKASAR,2.53,19524.9
NA,-6.267795,106.877706,NA,NA,halim pk,NA,NA,NA
2017,-6.25773,106.879204,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kebon pala,MAKASAR,2.3,23497.6
2017,-6.280352,106.876475,PROVINSI DKI JAKARTA,JAKARTA TIMUR,makasar,MAKASAR,1.61,24604.4
2017,-6.287579,106.881298,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pinang ranti,MAKASAR,2.35,12813.95
2017,-6.320049,106.88333,PROVINSI DKI JAKARTA,JAKARTA TIMUR,ciracas,CIRACAS,3.93,185.62
2017,-6.312591,106.874923,PROVINSI DKI JAKARTA,JAKARTA TIMUR,susukan,CIRACAS,2.19,19548.55
2017,-6.301937,106.872058,PROVINSI DKI JAKARTA,JAKARTA TIMUR,rambutan,CIRACAS,2.09,20127.27
2017,6.3457,106.882052,PROVINSI DKI JAKARTA,JAKARTA TIMUR,kelapa dua wetan,CIRACAS,3.37,15134.48
2017,-6.328096,106.877884,PROVINSI DKI JAKARTA,JAKARTA TIMUR,ciracas,CIRACAS,3.93,185.62
2017,-6.349904,106.876481,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cibubur,CIRACAS,4.5,16525.35
2017,-6.32872,106.888513,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cipayung,CIPAYUNG,3.09,9501.13
2017,-6.289406,106.904153,PROVINSI DKI JAKARTA,JAKARTA TIMUR,lubang buaya,CIPAYUNG,3.72,19176.52
2017,-6.305784,106.906946,PROVINSI DKI JAKARTA,JAKARTA TIMUR,bambu apus,CIPAYUNG,3.17,9146.97
2017,-6.309277,106.914854,PROVINSI DKI JAKARTA,JAKARTA TIMUR,setu,CIPAYUNG,3.25,6724.59
2017,-6.324648,106.899462,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cipayung,CIPAYUNG,3.09,9501.13
2017,-6.332411,106.903258,PROVINSI DKI JAKARTA,JAKARTA TIMUR,cilangkap,CIPAYUNG,6.04,4926.1
2017,-6.348482,106.893877,PROVINSI DKI JAKARTA,JAKARTA TIMUR,munjul,CIPAYUNG,1.9,13775.62
2017,-6.347936,106.914423,PROVINSI DKI JAKARTA,JAKARTA TIMUR,pondok ranggon,CIPAYUNG,3.66,7427.56
2017,-6.314432,106.889467,PROVINSI DKI JAKARTA,JAKARTA TIMUR,ceger,CIPAYUNG,3.63,5848.4
NA,-5.746724,106.613155,NA,NA,pulau panggang,NA,NA,NA
NA,-5.656511,106.573707,NA,NA,pulau kelapa,NA,NA,NA
NA,-5.6526,106.578022,NA,NA,pulau harapan,NA,NA,NA
NA,-5.656511,106.573707,NA,NA,pulau kelapa,NA,NA,NA
NA,-5.741208,106.603159,NA,NA,pulau panggang,NA,NA,NA
NA,-5.796551,106.493151,NA,NA,pulau tidung,NA,NA,NA
NA,-5.795517,106.496204,NA,NA,pulau tidung,NA,NA,NA
